,rx,ry,rconfidence
0,154.428,140.773,0.679127
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,153.116,142.742,0.811804
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,153.803,137.551,0.780203
0,142.723,158.309,0.77555
0,151.184,142.744,0.792363
0,140.771,132.996,0.782251
0,157.658,125.839,0.630206
0,138.205,181.057,0.518846
0,0.0,0.0,0.0
0,179.101,117.428,0.604979
0,150.516,143.37,0.780572
0,147.913,127.794,0.757568
0,153.799,139.479,0.784861
0,149.889,144.033,0.746145
0,151.825,143.358,0.790247
0,175.864,127.143,0.643031
0,151.815,143.37,0.787614
0,144.041,156.358,0.723462
0,169.342,121.299,0.687262
0,0.0,0.0,0.0
0,177.808,118.054,0.621643
0,151.834,143.361,0.799482
0,157.009,139.478,0.660881
0,154.415,137.554,0.778682
0,117.387,129.738,0.770451
0,156.359,138.163,0.764484
0,137.544,179.769,0.541033
0,152.474,144.053,0.718738
0,152.472,143.383,0.790203
0,171.32,137.529,0.597806
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,154.429,138.191,0.760312
0,179.09,119.35,0.512827
0,140.79,125.841,0.709648
0,0.0,0.0,0.0
0,153.101,139.479,0.781605
0,138.176,184.278,0.462331
0,157.011,138.183,0.722221
0,152.475,144.054,0.725507
0,138.205,184.309,0.478053
0,154.415,139.483,0.77375
0,157.654,137.525,0.783604
0,150.526,174.535,0.529841
0,155.709,138.848,0.722862
0,147.901,153.104,0.771751
0,173.909,121.961,0.697502
0,153.776,138.849,0.754565
0,0.0,0.0,0.0
0,150.528,144.041,0.74805
0,177.155,118.701,0.598674
0,149.249,147.263,0.715177
0,156.368,138.168,0.765289
0,155.714,138.184,0.772398
0,0.0,0.0,0.0
0,138.18,175.868,0.672577
0,152.48,143.402,0.777952
0,152.486,142.079,0.748621
0,152.473,142.073,0.802184
0,153.761,139.491,0.775227
0,155.715,137.532,0.77056
0,166.76,129.096,0.471291
0,168.045,132.355,0.508134
0,173.917,131.037,0.591315
0,155.722,140.134,0.704751
0,138.204,187.534,0.419656
0,157.671,138.179,0.7864
0,156.365,132.974,0.739999
0,0.0,0.0,0.0
0,158.293,134.93,0.742486
0,0.0,0.0,0.0
0,155.085,138.194,0.754018
0,155.08,138.179,0.771939
0,154.43,137.526,0.756068
0,153.792,138.212,0.782392
0,155.07,138.198,0.74496
0,155.062,138.172,0.665808
0,149.886,144.677,0.764294
0,160.264,126.495,0.695416
